flowStartMilliseconds,sourceIPAddress,destinationIPAddress,sourceTransportPort,destinationTransportPort,Binary_Label,Attack_Type_enc
1619932200043,192.249.218.19,163.93.29.231,35398,5632,0,Normal
1619932200044,149.200.25.158,163.93.105.66,1337,36437,0,Normal
1619932200044,202.134.217.69,187.64.69.120,53,44730,0,Normal
1619932200045,172.82.240.244,203.5.198.36,49654,1900,0,Normal
1619932200046,66.103.92.35,133.227.166.5,80,12541,0,Normal
1619932200046,146.72.239.203,163.93.217.140,1901,1900,0,Normal
1619932200046,133.245.111.108,185.181.49.11,5900,13110,0,Normal
1619932200046,94.27.48.67,133.227.51.246,48059,445,0,Normal
1619932200048,133.245.77.227,24.49.102.222,1194,17896,0,Normal
1619932200048,218.158.216.140,163.93.45.33,21078,23,0,Normal
1619932200049,146.72.239.203,203.5.243.207,1901,1900,0,Normal
1619932200049,50.252.28.71,133.52.158.218,443,17912,0,Normal
1619932200049,218.158.152.11,163.93.2.16,35852,2323,0,Normal
1619932200050,58.126.53.20,163.93.73.120,43030,80,0,Normal
1619932200050,87.65.127.89,133.52.40.141,34441,23,0,Normal
1619932200050,60.207.118.1,202.25.85.135,60990,8598,0,Normal
1619932200050,123.223.222.150,163.93.199.64,28708,8148,0,Normal
1619932200050,47.124.235.43,133.52.69.124,40024,8088,0,Normal
1619932200050,167.100.22.201,133.52.88.177,9461,5353,0,Normal
1619932200051,146.72.239.203,133.52.215.162,1901,1900,0,Normal
1619932200051,193.233.252.217,163.93.70.52,0,2048,0,Normal
1619932200051,146.72.239.203,133.52.135.108,1901,1900,0,Normal
1619932200051,133.245.138.150,79.124.194.47,58006,54534,0,Normal
1619932200052,146.72.239.203,163.93.76.162,1901,1900,0,Normal
1619932200052,116.19.228.228,133.52.152.156,28001,8090,0,Normal
1619932200053,188.112.7.134,133.227.137.251,3733,62,0,Normal
1619932200054,82.166.239.215,133.52.150.56,51054,22,0,Normal
1619932200054,61.168.250.148,202.25.83.4,44847,37280,0,Normal
1619932200054,162.254.39.110,163.93.234.178,443,27667,0,Normal
1619932200054,192.249.218.19,163.93.189.190,50725,5632,0,Normal
1619932200055,219.235.15.92,202.134.227.8,10389,11211,0,Normal
1619932200055,122.64.95.238,133.227.9.65,16926,962,0,Normal
1619932200055,89.218.113.219,163.93.14.18,4040,5060,0,Normal
1619932200056,189.180.7.247,133.52.157.104,8182,23,0,Normal
1619932200056,146.72.239.203,133.52.221.130,1901,1900,0,Normal
1619932200057,183.67.25.190,163.93.98.65,35769,23,0,Normal
1619932200057,192.249.218.19,163.93.136.93,44244,5632,0,Normal
